url_id,url
1,goose.ai
2,http://eaidata.bmk.sh/data/GPT_NeoX_20B.pdf
3,https://about.ideogram.ai/1.0
4,https://academic.oup.com/bib/article/23/6/bbac409/6713511?guestAccessKey=a66d9b5d-4f83-4017-bb52-405815c907b9&login=true
5,https://aclanthology.org/P18-1238/
6,https://ai.facebook.com/datasets/segment-anything/
7,https://ai.meta.com/research/publications/code-llama-open-foundation-models-for-code/
8,https://ai.meta.com/research/publications/emu-enhancing-image-generation-models-using-photogenic-needles-in-a-haystack/
9,https://ai.meta.com/resources/models-and-libraries/llama/
10,https://allenai.org/olmo/olmo-paper.pdf
11,https://app.twelvelabs.io/blog/introducing-pegasus-1
12,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/
13,https://argilla.io/blog/notus7b/
14,https://arxiv.org/abs/1910.10683
15,https://arxiv.org/abs/2005.00341
16,https://arxiv.org/abs/2102.12092
17,https://arxiv.org/abs/2104.04473
18,https://arxiv.org/abs/2104.11178
19,https://arxiv.org/abs/2105.13290
20,https://arxiv.org/abs/2109.01652
21,https://arxiv.org/abs/2109.04650
22,https://arxiv.org/abs/2111.02358
23,https://arxiv.org/abs/2111.11432
24,https://arxiv.org/abs/2112.04426
25,https://arxiv.org/abs/2112.04482
26,https://arxiv.org/abs/2112.06905
27,https://arxiv.org/abs/2112.12731
28,https://arxiv.org/abs/2112.15283
29,https://arxiv.org/abs/2201.02639
30,https://arxiv.org/abs/2201.11990
31,https://arxiv.org/abs/2201.12086
32,https://arxiv.org/abs/2202.13169
33,https://arxiv.org/abs/2203.07814
34,https://arxiv.org/abs/2203.13474
35,https://arxiv.org/abs/2204.01691
36,https://arxiv.org/abs/2204.05999
37,https://arxiv.org/abs/2204.06125
38,https://arxiv.org/abs/2204.07705
39,https://arxiv.org/abs/2204.14217
40,https://arxiv.org/abs/2205.01068
41,https://arxiv.org/abs/2205.05131
42,https://arxiv.org/abs/2205.15868
43,https://arxiv.org/abs/2206.08853
44,https://arxiv.org/abs/2206.11795
45,https://arxiv.org/abs/2206.14858
46,https://arxiv.org/abs/2208.12415
47,https://arxiv.org/abs/2209.03143
48,https://arxiv.org/abs/2209.06794
49,https://arxiv.org/abs/2209.14375
50,https://arxiv.org/abs/2209.14958
51,https://arxiv.org/abs/2210.11399
52,https://arxiv.org/abs/2210.11416
53,https://arxiv.org/abs/2210.15257
54,https://arxiv.org/abs/2211.01786
55,https://arxiv.org/abs/2211.05100
56,https://arxiv.org/abs/2212.12017
57,https://arxiv.org/abs/2212.13138
58,https://arxiv.org/abs/2301.13688
59,https://arxiv.org/abs/2302.05442
60,https://arxiv.org/abs/2302.13971
61,https://arxiv.org/abs/2302.14115
62,https://arxiv.org/abs/2303.01037
63,https://arxiv.org/abs/2303.03378
64,https://arxiv.org/abs/2303.08774
65,https://arxiv.org/abs/2303.17564
66,https://arxiv.org/abs/2309.04662
67,https://arxiv.org/abs/2309.16609
68,https://arxiv.org/abs/2402.16107
69,https://arxiv.org/abs/2404.02078
70,https://arxiv.org/abs/2404.14219
71,https://arxiv.org/pdf/1906.03327.pdf
72,https://arxiv.org/pdf/2005.14165.pdf
73,https://arxiv.org/pdf/2101.00027.pdf
74,https://arxiv.org/pdf/2102.08981.pdf
75,https://arxiv.org/pdf/2102.12092.pdf
76,https://arxiv.org/pdf/2103.00020.pdf
77,https://arxiv.org/pdf/2107.03374.pdf
78,https://arxiv.org/pdf/2110.08207.pdf
79,https://arxiv.org/pdf/2112.05253.pdf
80,https://arxiv.org/pdf/2112.11446.pdf
81,https://arxiv.org/pdf/2201.08239.pdf
82,https://arxiv.org/pdf/2203.02155.pdf
83,https://arxiv.org/pdf/2203.15556.pdf
84,https://arxiv.org/pdf/2204.02311.pdf
